xi,seed,final_avg_reward
0.001,20000,39.03577361965179
0.001,20127,41.42541817510127
0.001,20254,42.48696479177475
0.001,20381,41.40336633896827
0.001,20508,42.20191900646686
0.01,20000,39.9704823846817
0.01,20127,40.565940738558766
0.01,20254,34.464663844227786
0.01,20381,42.963433393239974
0.01,20508,38.92972676634788
0.1,20000,38.52852135014533
0.1,20127,48.447195375919335
0.1,20254,51.29059034180641
0.1,20381,46.10151289772988
0.1,20508,45.45509599876404
0.5,20000,56.37207379937171
0.5,20127,44.91035587763787
0.5,20254,49.566916534900656
0.5,20381,54.25140109181404
0.5,20508,56.20383506798744
1.0,20000,60.088113758087154
1.0,20127,60.44977297639847
1.0,20254,49.582684051752096
1.0,20381,60.031119206905366
1.0,20508,47.02895842814445
